Feb 15, 2018 9:18:35 AM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Feb 15, 2018 9:18:35 AM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Feb 15, 2018 9:18:35 AM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /home/aweeeezy/bin/school/spring2018/172 Enterprise Software/Enterprise-Software/karaf_tutorials/apache-karaf-4.0.10/lock
Feb 15, 2018 9:18:35 AM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Feb 15, 2018 9:18:35 AM org.apache.karaf.main.Main$KarafLockCallback lockAquired
INFO: Lock acquired. Setting startlevel to 100
2018-02-15 09:18:36,736 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.core/1.1.7
2018-02-15 09:18:36,736 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.aries.jmx/org.apache.aries.jmx.whiteboard/1.1.5
2018-02-15 09:18:36,741 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.aries.proxy/org.apache.aries.proxy.api/1.0.1
2018-02-15 09:18:36,741 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.aries.proxy/org.apache.aries.proxy.impl/1.0.5
2018-02-15 09:18:36,741 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.aries/org.apache.aries.util/1.1.1
2018-02-15 09:18:36,742 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.karaf.bundle/org.apache.karaf.bundle.blueprintstate/4.0.10
2018-02-15 09:18:36,742 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.karaf.bundle/org.apache.karaf.bundle.core/4.0.10
2018-02-15 09:18:36,742 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.karaf.config/org.apache.karaf.config.core/4.0.10
2018-02-15 09:18:36,742 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.blueprint/4.0.10
2018-02-15 09:18:36,742 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.features/4.0.10
2018-02-15 09:18:36,742 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.kar/4.0.10
2018-02-15 09:18:36,742 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.wrap/4.0.10
2018-02-15 09:18:36,743 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.karaf.diagnostic/org.apache.karaf.diagnostic.core/4.0.10
2018-02-15 09:18:36,743 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.karaf.features/org.apache.karaf.features.command/4.0.10
2018-02-15 09:18:36,743 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.karaf.instance/org.apache.karaf.instance.core/4.0.10
2018-02-15 09:18:36,743 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.karaf.jaas.blueprint/org.apache.karaf.jaas.blueprint.config/4.0.10
2018-02-15 09:18:36,743 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.command/4.0.10
2018-02-15 09:18:36,743 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.config/4.0.10
2018-02-15 09:18:36,743 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.modules/4.0.10
2018-02-15 09:18:36,744 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.karaf.kar/org.apache.karaf.kar.core/4.0.10
2018-02-15 09:18:36,744 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.karaf.log/org.apache.karaf.log.core/4.0.10
2018-02-15 09:18:36,744 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.karaf.management/org.apache.karaf.management.server/4.0.10
2018-02-15 09:18:36,744 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.karaf.package/org.apache.karaf.package.core/4.0.10
2018-02-15 09:18:36,744 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.karaf.service/org.apache.karaf.service.core/4.0.10
2018-02-15 09:18:36,744 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.karaf.shell/org.apache.karaf.shell.commands/4.0.10
2018-02-15 09:18:36,744 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.karaf.shell/org.apache.karaf.shell.console/4.0.10
2018-02-15 09:18:36,744 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.karaf.shell/org.apache.karaf.shell.core/4.0.10
2018-02-15 09:18:36,745 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.karaf.shell/org.apache.karaf.shell.ssh/4.0.10
2018-02-15 09:18:36,745 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.karaf.shell/org.apache.karaf.shell.table/4.0.10
2018-02-15 09:18:36,745 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.karaf.system/org.apache.karaf.system.core/4.0.10
2018-02-15 09:18:36,745 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.servicemix.bundles/org.apache.servicemix.bundles.not-yet-commons-ssl/0.3.11_1
2018-02-15 09:18:36,745 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.apache.sshd/sshd-core/0.14.0
2018-02-15 09:18:36,745 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.jledit/core/0.2.1
2018-02-15 09:18:36,745 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.ow2.asm/asm-all/5.0.4
2018-02-15 09:18:36,745 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.ops4j.pax.url/pax-url-aether/2.5.2
2018-02-15 09:18:36,746 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |       mvn:org.ops4j.pax.url/pax-url-wrap/2.5.2/jar/uber
2018-02-15 09:18:36,746 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 | Installing bundles:
2018-02-15 09:18:36,747 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |   mvn:jline/jline/2.14.1
2018-02-15 09:18:36,749 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.api/1.0.1
2018-02-15 09:18:36,751 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.cm/1.0.9
2018-02-15 09:18:36,753 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.core/1.7.1
2018-02-15 09:18:36,756 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.aries.blueprint/org.apache.aries.blueprint.core.compatibility/1.0.0
2018-02-15 09:18:36,758 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.aries.jmx/org.apache.aries.jmx.api/1.1.5
2018-02-15 09:18:36,787 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.aries.jmx/org.apache.aries.jmx.blueprint.api/1.1.5
2018-02-15 09:18:36,788 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.aries.jmx/org.apache.aries.jmx.blueprint.core/1.1.5
2018-02-15 09:18:36,790 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.aries.jmx/org.apache.aries.jmx.core/1.1.7
2018-02-15 09:18:36,792 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.aries.jmx/org.apache.aries.jmx.whiteboard/1.1.5
2018-02-15 09:18:36,793 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.aries.proxy/org.apache.aries.proxy.api/1.0.1
2018-02-15 09:18:36,794 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.aries.proxy/org.apache.aries.proxy.impl/1.0.5
2018-02-15 09:18:36,796 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.aries/org.apache.aries.util/1.1.1
2018-02-15 09:18:36,798 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.karaf.bundle/org.apache.karaf.bundle.blueprintstate/4.0.10
2018-02-15 09:18:36,799 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.karaf.bundle/org.apache.karaf.bundle.core/4.0.10
2018-02-15 09:18:36,802 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.karaf.config/org.apache.karaf.config.core/4.0.10
2018-02-15 09:18:36,804 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.blueprint/4.0.10
2018-02-15 09:18:36,805 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.features/4.0.10
2018-02-15 09:18:36,807 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.kar/4.0.10
2018-02-15 09:18:36,809 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.wrap/4.0.10
2018-02-15 09:18:36,810 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.karaf.diagnostic/org.apache.karaf.diagnostic.core/4.0.10
2018-02-15 09:18:36,811 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.karaf.features/org.apache.karaf.features.command/4.0.10
2018-02-15 09:18:36,813 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.karaf.instance/org.apache.karaf.instance.core/4.0.10
2018-02-15 09:18:36,814 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.karaf.jaas.blueprint/org.apache.karaf.jaas.blueprint.config/4.0.10
2018-02-15 09:18:36,815 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.command/4.0.10
2018-02-15 09:18:36,817 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.config/4.0.10
2018-02-15 09:18:36,818 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.modules/4.0.10
2018-02-15 09:18:36,822 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.karaf.kar/org.apache.karaf.kar.core/4.0.10
2018-02-15 09:18:36,824 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.karaf.log/org.apache.karaf.log.core/4.0.10
2018-02-15 09:18:36,825 | INFO  | pool-2-thread-1  | FeaturesServiceImpl              | 8 - org.apache.karaf.features.core - 4.0.10 |   mvn:org.apache.karaf.management/org.apache.karaf.management.server/4.0.10
